system:index,date,ssrd_sum_J_m2,.geo
20040306,2004-03-06,1.3531669967889804E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040307,2004-03-07,1.3127684003750507E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040308,2004-03-08,1.225865105545339E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040309,2004-03-09,1.0833739060634963E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040310,2004-03-10,1.3383774176319579E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040311,2004-03-11,1.337914567324415E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040312,2004-03-12,1.10230492252576E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040313,2004-03-13,1.3336840957703207E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040314,2004-03-14,1.3251667957867477E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040315,2004-03-15,1.2940937934143417E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040316,2004-03-16,1.3430591140840558E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040317,2004-03-17,1.4127766273169933E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040318,2004-03-18,1.3663802687977288E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040319,2004-03-19,1.2948056336168483E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040320,2004-03-20,1.2113255268686332E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040321,2004-03-21,1.0064202150667554E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040322,2004-03-22,1.842225110926493E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040323,2004-03-23,2.1115986884875476E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040324,2004-03-24,2.044007044552804E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040325,2004-03-25,1.9871340971083414E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040326,2004-03-26,1.6780130492444757E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040327,2004-03-27,1.3035277284490202E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040328,2004-03-28,1.5913633239740726E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040329,2004-03-29,1.744823682676138E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040330,2004-03-30,1.7127366434089854E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040331,2004-03-31,1.9312105315473672E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040401,2004-04-01,2.2116133627515886E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040402,2004-04-02,2.1340091219232224E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040403,2004-04-03,2.1821944263720814E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040404,2004-04-04,2.1665149414083038E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040405,2004-04-05,1.6509308095278228E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040406,2004-04-06,2.0358996643148106E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040407,2004-04-07,2.238470275749001E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040408,2004-04-08,2.119031756883992E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040409,2004-04-09,1.804786670001806E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040410,2004-04-10,1.812520772516204E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040411,2004-04-11,2.1496068743523363E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040412,2004-04-12,2.4103969438043047E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040413,2004-04-13,2.0557560628499184E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040414,2004-04-14,1.7943383425200164E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040415,2004-04-15,1.5397757989605272E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040416,2004-04-16,1.331085280850039E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040417,2004-04-17,1.5197450603736473E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040418,2004-04-18,1.12123912399414E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040419,2004-04-19,1.384703833110588E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040420,2004-04-20,1.9098640213272322E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040421,2004-04-21,1.8310112988100257E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040422,2004-04-22,2.0190954396042764E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040423,2004-04-23,1.702913197499648E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040424,2004-04-24,7844845.836654425,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040425,2004-04-25,1.3075666268496782E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040426,2004-04-26,1.5589558259988355E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040427,2004-04-27,1.863968971083419E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040428,2004-04-28,1.1313409644452473E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040429,2004-04-29,1.2036954529528623E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040430,2004-04-30,5243893.330644351,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040501,2004-05-01,1.6269982949210357E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040502,2004-05-02,1.961800960776995E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040503,2004-05-03,1.4787502398972554E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040504,2004-05-04,1.7261088259506743E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040505,2004-05-05,1.5179987003150523E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040506,2004-05-06,9708204.741918001,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040507,2004-05-07,1.9138577494913E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040508,2004-05-08,1.8439322652780276E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040509,2004-05-09,1.6274066309995377E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040510,2004-05-10,1.598058519222201E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040511,2004-05-11,9381804.801557196,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040512,2004-05-12,1.6969119822687775E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
20040513,2004-05-13,1.678676933887183E7,"{""type"":""MultiPoint"",""coordinates"":[]}"
