system:index,date,temperature_2m,.geo
72,2004-03-13,298.753137588501,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2004-03-14,298.99291610717773,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2004-03-15,299.1379699707031,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2004-03-16,299.11683464050293,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2004-03-17,298.9715207417806,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2004-03-18,298.6036097208659,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2004-03-19,298.89931933085126,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2004-03-20,299.26631355285645,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2004-03-21,299.4380162556966,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2004-03-22,299.42341295878094,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2004-03-23,299.59857813517254,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2004-03-24,299.52592213948566,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2004-03-25,299.4224745432536,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2004-03-26,299.19937833150226,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2004-03-27,298.94106038411456,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2004-03-28,299.03369839986163,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2004-03-29,299.21986707051593,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2004-03-30,299.5705909729004,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,2004-03-31,299.5388018290202,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,2004-04-01,299.7444985707601,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,2004-04-02,299.60502370198566,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,2004-04-03,299.6359672546387,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,2004-04-04,299.8030204772949,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,2004-04-05,299.3877423604329,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,2004-04-06,299.7947832743327,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,2004-04-07,300.0500431060791,"{""type"":""MultiPoint"",""coordinates"":[]}"
98,2004-04-08,300.01525624593097,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,2004-04-09,299.74464988708496,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,2004-04-10,299.5248457590739,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,2004-04-11,299.93704350789386,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,2004-04-12,300.0950355529785,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,2004-04-13,299.99275334676105,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,2004-04-14,299.48367245992023,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,2004-04-15,299.2557538350423,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,2004-04-16,299.19353675842285,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,2004-04-17,298.9645360310872,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,2004-04-18,298.4894193013509,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,2004-04-19,298.6987056732178,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,2004-04-20,298.8733158111572,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,2004-04-21,299.26197306315106,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,2004-04-22,299.57594235738117,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,2004-04-23,299.281312306722,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,2004-04-24,298.0736948649089,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,2004-04-25,298.3595943450928,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,2004-04-26,298.84530703226727,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,2004-04-27,299.3281389872233,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,2004-04-28,298.93859163920087,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,2004-04-29,298.93790435791016,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,2004-04-30,298.1368974049886,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,2004-05-01,299.08728345235187,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,2004-05-02,299.2364381154378,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,2004-05-03,299.01574452718097,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,2004-05-04,299.27538172403973,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,2004-05-05,298.99388694763184,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,2004-05-06,298.8238010406494,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,2004-05-07,299.3646437327067,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,2004-05-08,299.6366488138835,"{""type"":""MultiPoint"",""coordinates"":[]}"
129,2004-05-09,299.2898292541504,"{""type"":""MultiPoint"",""coordinates"":[]}"
130,2004-05-10,299.2073605855306,"{""type"":""MultiPoint"",""coordinates"":[]}"
131,2004-05-11,299.03172365824383,"{""type"":""MultiPoint"",""coordinates"":[]}"
132,2004-05-12,299.4979127248128,"{""type"":""MultiPoint"",""coordinates"":[]}"
133,2004-05-13,299.3062330881755,"{""type"":""MultiPoint"",""coordinates"":[]}"
134,2004-05-14,298.93786366780597,"{""type"":""MultiPoint"",""coordinates"":[]}"
135,2004-05-15,299.3772087097168,"{""type"":""MultiPoint"",""coordinates"":[]}"
136,2004-05-16,299.7007745107015,"{""type"":""MultiPoint"",""coordinates"":[]}"
137,2004-05-17,299.1562042236328,"{""type"":""MultiPoint"",""coordinates"":[]}"
138,2004-05-18,299.46360206604004,"{""type"":""MultiPoint"",""coordinates"":[]}"
139,2004-05-19,299.79017066955566,"{""type"":""MultiPoint"",""coordinates"":[]}"
140,2004-05-20,299.2849375406901,"{""type"":""MultiPoint"",""coordinates"":[]}"
141,2004-05-21,299.6025390625,"{""type"":""MultiPoint"",""coordinates"":[]}"
142,2004-05-22,299.13373883565265,"{""type"":""MultiPoint"",""coordinates"":[]}"
143,2004-05-23,299.32752990722656,"{""type"":""MultiPoint"",""coordinates"":[]}"
144,2004-05-24,299.8134848276774,"{""type"":""MultiPoint"",""coordinates"":[]}"
145,2004-05-25,299.24025599161786,"{""type"":""MultiPoint"",""coordinates"":[]}"
146,2004-05-26,298.82423210144043,"{""type"":""MultiPoint"",""coordinates"":[]}"
147,2004-05-27,299.0122324625651,"{""type"":""MultiPoint"",""coordinates"":[]}"
148,2004-05-28,299.42910703023273,"{""type"":""MultiPoint"",""coordinates"":[]}"
149,2004-05-29,298.5262966156006,"{""type"":""MultiPoint"",""coordinates"":[]}"
150,2004-05-30,298.25007756551105,"{""type"":""MultiPoint"",""coordinates"":[]}"
151,2004-05-31,298.2110023498535,"{""type"":""MultiPoint"",""coordinates"":[]}"
152,2004-06-01,298.74232292175293,"{""type"":""MultiPoint"",""coordinates"":[]}"
153,2004-06-02,298.3207181294759,"{""type"":""MultiPoint"",""coordinates"":[]}"
154,2004-06-03,298.34903144836426,"{""type"":""MultiPoint"",""coordinates"":[]}"
155,2004-06-04,298.7908083597819,"{""type"":""MultiPoint"",""coordinates"":[]}"
156,2004-06-05,298.8758544921875,"{""type"":""MultiPoint"",""coordinates"":[]}"
157,2004-06-06,298.1752624511719,"{""type"":""MultiPoint"",""coordinates"":[]}"
158,2004-06-07,298.3947919209798,"{""type"":""MultiPoint"",""coordinates"":[]}"
159,2004-06-08,298.8822644551595,"{""type"":""MultiPoint"",""coordinates"":[]}"
160,2004-06-09,298.91191991170246,"{""type"":""MultiPoint"",""coordinates"":[]}"
161,2004-06-10,299.10475794474286,"{""type"":""MultiPoint"",""coordinates"":[]}"
162,2004-06-11,298.81147893269855,"{""type"":""MultiPoint"",""coordinates"":[]}"
163,2004-06-12,298.6098512013753,"{""type"":""MultiPoint"",""coordinates"":[]}"
164,2004-06-13,298.5323963165283,"{""type"":""MultiPoint"",""coordinates"":[]}"
165,2004-06-14,298.5617904663086,"{""type"":""MultiPoint"",""coordinates"":[]}"
166,2004-06-15,298.6470012664795,"{""type"":""MultiPoint"",""coordinates"":[]}"
167,2004-06-16,298.3868465423584,"{""type"":""MultiPoint"",""coordinates"":[]}"
168,2004-06-17,298.75749015808105,"{""type"":""MultiPoint"",""coordinates"":[]}"
169,2004-06-18,298.78249677022296,"{""type"":""MultiPoint"",""coordinates"":[]}"
